id,x,y,z,frame
3,8.0638,8.9963,0.746,odom
4,10.0382,15.2234,0.1984,odom
5,10.0382,15.2234,0.7984,odom
7,12.0673,21.8412,0.7915,odom
8,13.7184,28.0378,0.1703,odom
9,13.7184,28.0378,0.7703,odom
11,16.0719,34.4366,0.7567,odom
12,17.8231,40.8594,0.1832,odom
13,17.8231,40.8594,0.7832,odom
14,22.8833,38.8086,0.209,odom
15,22.8833,38.8086,0.809,odom
16,19.5033,44.9278,0.2182,odom
17,19.5033,44.9278,0.8182,odom
18,24.4312,43.1224,0.2512,odom
19,24.4312,43.1224,0.8512,odom
20,26.7316,48.889,0.166,odom
21,26.7316,48.889,0.766,odom
22,28.6074,53.6363,0.2523,odom
23,28.6074,53.6363,0.8523,odom
24,23.48,55.4217,0.2348,odom
25,23.48,55.4217,0.8348,odom
26,29.5944,56.8733,0.2248,odom
27,29.5944,56.8733,0.8248,odom
28,24.6053,58.7102,0.2095,odom
29,24.6053,58.7102,0.8095,odom
30,24.4097,60.5943,0.1536,odom
31,24.4097,60.5943,0.7536,odom
32,24.1662,62.0995,0.2706,odom
33,24.1662,62.0995,0.8706,odom
34,28.9011,63.6454,0.1942,odom
35,28.9011,63.6454,0.7942,odom
36,23.9229,64.0449,0.1916,odom
37,23.9229,64.0449,0.7916,odom
38,23.6915,65.7159,0.1611,odom
39,23.6915,65.7159,0.7611,odom
40,24.2165,70.0555,0.2533,odom
41,24.2165,70.0555,0.8533,odom
42,26.3759,72.0599,0.2151,odom
43,26.3759,72.0599,0.8151,odom
44,28.5596,66.6867,0.194,odom
45,28.5596,66.6867,0.794,odom
10005,30.4216,64.6783,0.0722,odom
46,30.406,64.7859,0.2083,odom
47,30.406,64.7859,0.8083,odom
10008,31.9064,62.6316,0.2738,odom
10009,33.3655,60.1743,0.252,odom
10010,34.339,57.9431,0.2381,odom
49,37.9551,66.3361,0.8204,odom
50,44.9793,62.1983,0.1541,odom
51,44.9793,62.1983,0.7541,odom
48,37.9519,66.2681,0.2108,odom
52,51.5952,62.0703,0.1759,odom
53,51.5952,62.0703,0.7759,odom
54,60.9757,62.0214,0.1641,odom
55,60.9757,62.0214,0.7641,odom
56,68.5088,63.844,0.1925,odom
57,68.5088,63.844,0.7925,odom
58,80.0011,69.4941,0.1643,odom
59,80.0011,69.4941,0.7643,odom
60,86.6466,74.3011,0.2233,odom
61,86.6466,74.3011,0.8233,odom
62,94.1557,84.252,0.2169,odom
63,94.1557,84.252,0.8169,odom
64,98.1657,96.9678,0.2722,odom
65,98.1657,96.9678,0.8722,odom
66,100.2395,103.9982,0.1652,odom
67,100.2395,103.9982,0.7652,odom
68,105.8492,120.2481,0.1717,odom
69,105.8492,120.2481,0.7717,odom
70,107.6946,126.8733,0.2023,odom
71,107.6946,126.8733,0.8023,odom
72,107.1201,139.1348,0.2184,odom
73,107.1201,139.1348,0.8184,odom
74,111.4571,148.0848,0.2616,odom
75,111.4571,148.0848,0.8616,odom
10013,111.3915,165.1299,0.2932,odom
10014,118.0133,164.9155,0.2638,odom
10015,120.2535,158.7613,0.2213,odom
76,114.6598,156.382,0.161,odom
77,114.6598,156.382,0.761,odom
78,101.8844,111.2702,0.1915,odom
79,101.8844,111.2702,0.7915,odom
80,36.4223,68.6849,0.1693,odom
81,36.4223,68.6849,0.7693,odom
83,33.5843,70.8655,0.7704,odom
84,30.7917,72.2394,0.2,odom
85,30.7917,72.2394,0.8,odom
86,27.8684,72.5871,0.2531,odom
87,27.8684,72.5871,0.8531,odom
82,33.6024,70.5996,0.1788,odom
88,25.0842,70.9286,0.2149,odom
89,25.0842,70.9286,0.8149,odom
90,23.8498,67.7494,0.2254,odom
91,23.8498,67.7494,0.8254,odom
93,28.7487,66.6389,0.7648,odom
94,29.7224,66.1129,0.2262,odom
95,29.7224,66.1129,0.8262,odom
96,29.5407,60.9455,0.1949,odom
97,29.5407,60.9455,0.7949,odom
92,28.7487,66.6389,0.1648,odom
98,21.1469,51.6361,0.1693,odom
99,21.1469,51.6361,0.7693,odom
101,17.3411,41.8934,0.79,odom
103,15.5101,35.1169,0.7848,odom
105,11.3203,22.4373,0.7649,odom
106,7.2336,9.9836,0.1519,odom
107,7.2336,9.9836,0.7519,odom
102,15.6042,35.0886,0.2159,odom
104,11.4209,22.4193,0.1823,odom
108,5.7136,5.7533,0.2252,odom
109,5.7136,5.7533,0.8252,odom
1,6.8088,5.0054,0.8119,odom
110,3.3432,-0.939,0.1916,odom
111,3.3432,-0.939,0.7916,odom
112,0.6379,-8.7328,0.2044,odom
113,0.6379,-8.7328,0.8044,odom
114,-1.6601,-14.4414,0.2542,odom
115,-1.6601,-14.4414,0.8542,odom
116,-3.4304,-20.2129,0.1506,odom
117,-3.4304,-20.2129,0.7506,odom
118,-6.1011,-28.8794,0.1916,odom
119,-6.1011,-28.8794,0.7916,odom
120,-7.3399,-33.1556,0.2042,odom
121,-7.3399,-33.1556,0.8042,odom
122,-14.0215,-46.5905,0.2626,odom
123,-14.0215,-46.5905,0.8626,odom
124,-12.2292,-44.549,0.195,odom
125,-12.2292,-44.549,0.795,odom
130,-16.6569,-50.2815,0.269,odom
131,-16.6569,-50.2815,0.869,odom
136,-18.6962,-54.0573,0.1953,odom
137,-18.6962,-54.0573,0.7953,odom
142,-19.2201,-57.5902,0.1495,odom
143,-19.2201,-57.5902,0.7495,odom
141,-19.0395,-49.3507,1.0,odom
144,-12.4123,-57.9284,0.218,odom
145,-12.4123,-57.9284,0.818,odom
10016,-18.7677,-64.204,0.2464,odom
10017,-14.5627,-66.0832,0.2598,odom
10018,-14.5219,-55.8466,0.2553,odom
10019,-15.869,-58.122,0.2365,odom
147,-9.0515,-67.1543,0.7698,odom
10020,-9.2739,-59.0836,0.2466,odom
10021,-5.8084,-61.8379,0.2328,odom
148,-8.1935,-68.0125,0.1452,odom
149,-8.1935,-68.0125,0.7452,odom
150,-1.6714,-80.484,0.1522,odom
151,-1.6714,-80.484,0.7522,odom
152,2.1915,-88.2504,0.1737,odom
153,2.1915,-88.2504,0.7737,odom
154,8.8355,-92.1622,0.1348,odom
155,8.8355,-92.1622,0.7348,odom
156,11.6662,-97.2944,0.251,odom
157,11.6662,-97.2944,0.851,odom
158,17.6173,-99.4893,0.1708,odom
159,17.6173,-99.4893,0.7708,odom
161,23.1127,-103.8814,0.7849,odom
162,22.7717,-103.9828,0.2172,odom
163,22.7717,-103.9828,0.8172,odom
165,28.6627,-106.2633,0.7746,odom
167,28.7239,-106.349,0.7601,odom
169,28.666,-106.37,0.818,odom
170,28.5725,-106.3569,0.2715,odom
171,28.5725,-106.3569,0.8715,odom
173,34.8474,-107.9478,0.8099,odom
174,34.687,-107.9665,0.2514,odom
175,34.687,-107.9665,0.8514,odom
177,34.6412,-108.0172,0.833,odom
179,40.4133,-109.5889,0.8145,odom
180,40.4667,-109.5992,0.2699,odom
181,40.4667,-109.5992,0.8699,odom
182,46.4399,-111.0667,0.196,odom
183,46.4399,-111.0667,0.796,odom
185,52.3071,-112.5234,0.7557,odom
189,52.2846,-112.628,0.8691,odom
190,58.277,-114.0053,0.162,odom
191,58.277,-114.0053,0.762,odom
193,58.2922,-114.1226,0.867,odom
195,65.599,-115.8605,0.7626,odom
199,77.5347,-118.7522,0.751,odom
201,77.58,-118.749,0.8762,odom
203,77.661,-118.6703,0.837,odom
205,81.8096,-119.9275,0.7573,odom
207,81.7619,-119.9693,0.8043,odom
211,89.873,-121.9451,0.7953,odom
215,104.2679,-123.7054,0.7531,odom
217,104.1903,-123.737,0.8157,odom
218,112.0757,-127.3209,0.1475,odom
219,112.0757,-127.3209,0.7475,odom
220,122.2592,-129.718,0.1348,odom
221,122.2592,-129.718,0.7348,odom
224,133.198,-132.6357,0.2098,odom
225,133.198,-132.6357,0.8098,odom
226,142.1575,-134.8146,0.1624,odom
227,142.1575,-134.8146,0.7624,odom
228,148.903,-136.149,0.2587,odom
229,148.903,-136.149,0.8587,odom
10024,163.3834,-134.9935,0.2484,odom
10025,168.1557,-137.3204,0.2333,odom
10026,167.9234,-140.5098,0.2503,odom
10028,162.9492,-144.047,0.2593,odom
233,155.8407,-137.6288,0.7627,odom
234,156.0081,-137.5699,0.26,odom
235,156.0081,-137.5699,0.86,odom
10029,-20.9886,-61.0156,0.2612,odom
10030,-11.0022,-66.1757,0.2478,odom
253,122.5602,-129.689,0.7624,odom
254,104.5486,-123.7412,0.2092,odom
255,104.5486,-123.7412,0.8092,odom
256,96.4539,-125.4487,0.214,odom
257,96.4539,-125.4487,0.814,odom
258,90.0402,-121.7313,0.1798,odom
259,90.0402,-121.7313,0.7798,odom
260,82.0456,-119.9878,0.1691,odom
261,82.0456,-119.9878,0.7691,odom
262,77.8487,-118.8233,0.1919,odom
263,77.8487,-118.8233,0.7919,odom
264,72.6086,-117.6441,0.1887,odom
265,72.6086,-117.6441,0.7887,odom
267,72.6753,-117.6652,0.8682,odom
269,65.7896,-115.7583,0.7375,odom
270,65.8357,-115.6974,0.2771,odom
271,65.8357,-115.6974,0.8771,odom
273,65.8769,-115.8072,0.8159,odom
275,58.6986,-114.1029,0.8543,odom
276,52.7128,-112.4608,0.1601,odom
277,52.7128,-112.4608,0.7601,odom
278,52.7554,-112.4946,0.2617,odom
279,52.7554,-112.4946,0.8617,odom
281,52.7306,-112.638,0.8357,odom
283,47.046,-111.1814,0.7714,odom
304,-4.9338,-73.6229,0.1992,odom
305,-4.9338,-73.6229,0.7992,odom
306,-2.7279,-64.7515,0.1999,odom
307,-2.7279,-64.7515,0.7999,odom
308,-2.968,-64.785,0.2077,odom
309,-2.968,-64.785,0.8077,odom
310,-9.1243,-66.3933,0.2404,odom
311,-9.1243,-66.3933,0.8404,odom
314,-15.5012,-56.8875,0.1634,odom
315,-15.5012,-56.8875,0.7634,odom
316,-13.9708,-54.8173,0.2622,odom
317,-13.9708,-54.8173,0.8622,odom
