id,x,y,z,frame,colour
0,6.8278,4.9546,0.3354,odom,blue
2,7.8709,9.1576,0.2628,odom,blue
4,10.1637,15.2188,0.3517,odom,orange
6,11.8844,21.7542,0.2684,odom,blue
8,14.0659,27.8187,0.3673,odom,orange
10,16.117,34.2566,0.2118,odom,blue
12,17.6571,40.911,0.2493,odom,yellow
14,22.7684,38.8901,0.2693,odom,yellow
16,19.5013,44.9092,0.315,odom,yellow
18,24.4345,43.1444,0.3458,odom,yellow
20,21.2822,50.8064,0.3511,odom,yellow
22,26.7314,48.895,0.3129,odom,yellow
24,28.5203,53.6669,0.2849,odom,yellow
26,23.4571,55.4528,0.2295,odom,yellow
28,29.5249,56.875,0.2689,odom,yellow
30,24.594,58.699,0.1989,odom,yellow
32,24.5428,60.5584,0.2235,odom,yellow
34,24.3748,62.1027,0.2467,odom,yellow
36,29.565,60.4681,0.4,odom,yellow
38,24.1456,63.9839,0.2732,odom,yellow
40,29.013,63.685,0.4,odom,yellow
42,23.7597,65.6974,0.1707,odom,yellow
44,24.3746,69.953,0.3121,odom,yellow
46,26.6341,72.0457,0.3353,odom,yellow
48,23.8808,66.7139,0.4,odom,yellow
50,28.6056,66.6827,0.2546,odom,yellow
52,33.3021,70.7518,0.4,odom,yellow
54,30.3931,64.7779,0.2767,odom,yellow
56,31.9351,62.5444,0.4,odom,yellow
58,36.2329,68.4777,0.2577,odom,yellow
60,37.8867,66.1337,0.3848,odom,yellow
63,29.7,72.5,0,odom,yellow
61,34.4,60.8,0,odom,yellow
62,45.0201,62.2733,0.2579,odom,blue
64,51.5643,62.1064,0.2489,odom,orange
66,61.0371,62.1305,0.2261,odom,orange
68,68.4775,63.861,0.1931,odom,orange
70,80.0567,69.4892,0.1984,odom,blue
72,86.6466,74.3011,0.2233,odom,blue
74,94.1629,84.2531,0.317,odom,blue
76,98.1333,96.9971,0.3473,odom,orange
78,100.2255,104.0213,0.2477,odom,orange
80,105.8722,120.2717,0.211,odom,blue
82,107.693,126.8664,0.2562,odom,blue
84,107.111,139.1357,0.2186,odom,orange
86,111.4593,147.996,0.2585,odom,blue
87,114.795,156.345,0,odom,blue
88,111.841,165.151,0,odom,orange
89,118.446,164.488,0,odom,orange
90,120.081,158.617,0,odom,orange
91,156.1606,-137.7669,0.2009,odom,blue
92,155.941,-137.6289,0.163,odom,blue
93,149.0953,-136.1069,0.1645,odom,blue
94,142.4154,-134.7445,0.1537,odom,blue
95,133.6422,-132.5183,0.1528,odom,orange
96,122.7299,-129.7392,0.1487,odom,blue
98,111.6396,-128.0615,0.2055,odom,orange
99,104.5474,-123.7396,0.149,odom,blue
100,96.4869,-125.443,0.1556,odom,orange
101,90.1975,-121.7414,0.1417,odom,blue
102,82.034,-119.9604,0.2154,odom,orange
103,77.8434,-118.8006,0.2085,odom,orange
104,72.5624,-117.6222,0.2138,odom,orange
105,65.9047,-115.7269,0.162,odom,blue
106,58.6698,-114.1416,0.1753,odom,blue
107,52.7875,-112.5028,0.1473,odom,blue
108,47.0453,-111.1637,0.1896,odom,orange
109,41.0625,-109.7707,0.2302,odom,orange
110,35.2515,-108.1387,0.2062,odom,orange
111,28.9313,-106.1295,0.1348,odom,blue
112,23.315,-104.0581,0.1664,odom,orange
113,18.0981,-99.1801,0.1432,odom,blue
114,12.1347,-97.5264,0.2084,odom,orange
115,12.3719,-97.446,0.2275,odom,orange
116,9.4489,-92.0543,0.1729,odom,blue
117,2.5499,-88.4099,0.1859,odom,orange
118,-1.2924,-80.0564,0.1648,odom,blue
119,-4.9343,-73.6218,0.1991,odom,orange
120,-2.7264,-64.7513,0.1999,odom,yellow
121,-3.0517,-64.7552,0.1961,odom,yellow
122,-8.252,-67.0501,0.1704,odom,yellow
123,-9.1243,-66.3933,0.2404,odom,yellow
124,-14.6149,-65.223,0.2019,odom,yellow
125,-15.6908,-56.8931,0.1574,odom,yellow
126,-15.3646,-56.8206,0.1835,odom,yellow
127,-19.2125,-57.6514,0.1969,odom,yellow
128,-19.1024,-53.9842,0.2393,odom,yellow
129,-13.9655,-54.8358,0.2613,odom,yellow
130,-15.4305,-57.0664,0.1943,odom,yellow
131,-17.0634,-50.045,0.2468,odom,yellow
132,-10.9755,-52.2743,0.1971,odom,yellow
134,-12.5966,-44.3381,0.2442,odom,orange
135,-7.4652,-33.0027,0.1569,odom,orange
136,-6.2903,-28.6869,0.1346,odom,orange
137,-3.4537,-20.0122,0.1404,odom,blue
138,-1.5183,-14.3356,0.2092,odom,blue
139,0.5125,-8.5659,0.1715,odom,blue
,-5.45068,-61.3484,0,odom,yellow
,-8.52952,-58.2473,0,odom,yellow
,-12.2395,-57.4341,0,odom,yellow
,-18.3755,-63.1845,0,odom,yellow
,163.774,-134.592,1,odom,orange
,167.953,-136.822,2,odom,orange
,167.838,-140.354,3,odom,orange
,163.374,-143.897,4,odom,orange
